state_id,a,b,r,U,L,new_blue,new_red,blue_target,blue_power,red_allowed,red_target,red_power,c0,c1,c2,c3,c4,lower_bound,upper_bound,status
q001,N,Bo,Ro,Bo Bo Bo,Ro Ro Ro,Bo,Ro,q001,0,1,q001,0,-3192,-13944,-16416,18360,7128,384205810816273278357531/125000000000000000000000,98994788824979509071/30517578125000000000,positive
q001,N,Bo,Ro,Bo Bo Bo,Ro Ro Ro,Bo,R,q001,0,1,q002,0,-1596,-6972,-8208,9180,3564,384205810816273278357531/250000000000000000000000,98994788824979509071/61035156250000000000,positive
q001,N,Bo,Ro,Bo Bo Bo,Ro Ro Ro,B,Ro,q009,0,1,q001,0,-1596,-6972,-8208,9180,3564,384205810816273278357531/250000000000000000000000,98994788824979509071/61035156250000000000,positive
q001,N,Bo,Ro,Bo Bo Bo,Ro Ro Ro,B,R,q009,0,1,q002,0,0,0,0,0,0,0,0,zero
q002,N,Bo,Ro,Bo Bo Bo,Ro Ro R,Bo,Ro,q002,0,1,q003,0,-180,-684,-960,996,396,203047867276943673373059/250000000000000000000000,50144761124361674619/61035156250000000000,positive
q002,N,Bo,Ro,Bo Bo Bo,Ro Ro R,Bo,R,q002,0,1,q004,0,-180,-684,-960,996,396,203047867276943673373059/250000000000000000000000,50144761124361674619/61035156250000000000,positive
q002,N,Bo,Ro,Bo Bo Bo,Ro Ro R,B,Ro,q010,0,1,q003,0,0,0,0,0,0,0,0,zero
q002,N,Bo,Ro,Bo Bo Bo,Ro Ro R,B,R,q010,0,1,q004,0,0,0,0,0,0,0,0,zero
q003,N,Bo,Ro,Bo Bo Bo,Ro R Ro,Bo,Ro,q003,0,1,q005,0,-1400,-6464,-6684,7972,3036,607525821180670723860119/250000000000000000000000,19096568208528835963/7629394531250000000,positive
q003,N,Bo,Ro,Bo Bo Bo,Ro R Ro,Bo,R,q003,0,1,q006,0,0,0,0,0,0,0,0,zero
q003,N,Bo,Ro,Bo Bo Bo,Ro R Ro,B,Ro,q011,0,1,q005,0,-1400,-6464,-6684,7972,3036,607525821180670723860119/250000000000000000000000,19096568208528835963/7629394531250000000,positive
q003,N,Bo,Ro,Bo Bo Bo,Ro R Ro,B,R,q011,0,1,q006,0,0,0,0,0,0,0,0,zero
q004,N,Bo,Ro,Bo Bo Bo,Ro R R,Bo,Ro,q004,0,1,q007,0,0,0,0,0,0,0,0,zero
