state_id,lower_bound,upper_bound
q001,302032528124342360913/15258789062500000000,310783317496283596569417/15625000000000000000000
q002,1307124901322348952723/61035156250000000000,5356738890756810823468203/250000000000000000000000
q003,24,24
q004,24,24
q005,193017018217252414037/7629394531250000000,6343018178819329276139881/250000000000000000000000
q006,3475269/125000,434409/15625
q007,3475269/125000,434409/15625
q008,3475269/125000,434409/15625
q009,1307124901322348952723/61035156250000000000,5356738890756810823468203/250000000000000000000000
q010,678634831223355313671/30517578125000000000,2779893379016877248420631/125000000000000000000000
q011,24,24
q012,2779692602105133360822099/125000000000000000000000,343840626897002173317/15258789062500000000
q013,1583419275079495632929/61035156250000000000,6489075376272791178923219/250000000000000000000000
q014,830525331110910104557/30517578125000000000,3401903126338959082806877/125000000000000000000000
q015,2570603716284026403276781/100000000000000000000000,628417686228102892071/24414062500000000000
q016,290585672923023658557/12207031250000000000,599667921129969471583251/25000000000000000000000
q017,24,24
q018,24,24
q019,3073368873661040917193123/125000000000000000000000,750350889592214895443/30517578125000000000
q020,2814654599037839674664161/125000000000000000000000,344529553077557882763/15258789062500000000
q021,1597199868462822356899/61035156250000000000,6542640872218515777648139/250000000000000000000000
q022,1658423/62500,414606/15625
q023,1499007368821390232488107/62500000000000000000000,1464505360786195657823/61035156250000000000
q024,332568290349622859659/15258789062500000000,5457724862501813343245871/250000000000000000000000
q025,24,24
q026,21674808695203375655946459/1000000000000000000000000,5747343891476038322769/244140625000000000000
q027,2812699172144420360106731/125000000000000000000000,1397971833054308294417/61035156250000000000
q028,4448448593505003145121/244140625000000000000,19655225089345177098929081/1000000000000000000000000
q029,12388528027705189903098473/500000000000000000000000,3032502912419463188543/122070312500000000000
q030,22690966037232141892065227/1000000000000000000000000,5741798922968832520657/244140625000000000000
q031,498951550482421992721/24414062500000000000,2072810900246013680771431/100000000000000000000000
q032,16590964601740850566818003/1000000000000000000000000,4272131163635907003273/244140625000000000000
q033,193017018217252414037/7629394531250000000,6343018178819329276139881/250000000000000000000000
q034,1583419275079495632929/61035156250000000000,6489075376272791178923219/250000000000000000000000
q035,1597199868462822356899/61035156250000000000,6542640872218515777648139/250000000000000000000000
q036,3083069863981739547783091/125000000000000000000000,1506002312070515866937/61035156250000000000
q037,144370408820475006377/6103515625000000000,592134479472813647475647/25000000000000000000000
q038,740915542571359323307/30517578125000000000,3034858798786959082806877/125000000000000000000000
q039,5259315485552944594124353/250000000000000000000000,1284211639336320724873/61035156250000000000
q040,588894874961114646547/30517578125000000000,4825414517787007704716909/250000000000000000000000
q041,3475269/125000,434409/15625
q042,830525331110910104557/30517578125000000000,3401903126338959082806877/125000000000000000000000
q043,1658423/62500,414606/15625
q044,5700955649900557697460933/250000000000000000000000,1400124011768906003653/61035156250000000000
q045,740915542571359323307/30517578125000000000,3034858798786959082806877/125000000000000000000000
q046,716859123943744037239/30517578125000000000,1468195880674959082806877/62500000000000000000000
q047,9541942111363729783664161/500000000000000000000000,2331498175442304156151/122070312500000000000
q048,1925564538526385487783/122070312500000000000,7913360746778407059737613/500000000000000000000000
q049,3475269/125000,434409/15625
q050,2569821545526658677453809/100000000000000000000000,79048551297114780593/3051757812500000000
q051,2409661504469870714374193/100000000000000000000000,589901801970164554063/24414062500000000000
q052,2494113084877755272301/122070312500000000000,5151947537832499031388093/250000000000000000000000
q053,10661043281601646107775327/500000000000000000000000,2605409834560030483507/122070312500000000000
q054,48151535259232202034369/2500000000000000000000,94468386974789236257/4882812500000000000
q055,38370781313915100649/2441406250000000000,157673205945466107348139/10000000000000000000000
q056,6353950639906246869061747/500000000000000000000000,781700941067567253551/61035156250000000000
q057,3475269/125000,434409/15625
q058,5684941321800930201633/244140625000000000000,24525983844115438319271213/1000000000000000000000000
q059,66545891446642306497/3051757812500000000,137947107201672092108171/6250000000000000000000
q060,2081300177114532879579557/125000000000000000000000,528573056210085412187/30517578125000000000
q061,14825423546583851033/762939453125000000,973699277429154061699433/50000000000000000000000
q062,1922741556559422725711/122070312500000000000,8054439874010910763406821/500000000000000000000000
q063,6353950639906246869061747/500000000000000000000000,781700941067567253551/61035156250000000000
q064,2206071472031844646747/244140625000000000000,9229079580289468505168467/1000000000000000000000000
q065,302032528124342360913/15258789062500000000,310783317496283596569417/15625000000000000000000
q066,1307124901322348952723/61035156250000000000,5356738890756810823468203/250000000000000000000000
q067,24,24
q068,24,24
q069,109170883427738288291861/5000000000000000000000,53551908479809961827/2441406250000000000
q070,24,24
q071,24,24
q072,24,24
q073,1307124901322348952723/61035156250000000000,5356738890756810823468203/250000000000000000000000
q074,678634831223355313671/30517578125000000000,2779893379016877248420631/125000000000000000000000
q075,24,24
q076,2779692602105133360822099/125000000000000000000000,343840626897002173317/15258789062500000000
q077,5467299299735644548203/244140625000000000000,170993168326113335419/7629394531250000000
q078,1468292372363590367693123/62500000000000000000000,716973961064592650261/30517578125000000000
q079,2706748030477741113051/122070312500000000000,11111605955440284094758811/500000000000000000000000
q080,10264946077953866033788149/500000000000000000000000,2538939424773079804059/122070312500000000000
q081,24,24
q082,24,24
q083,3073368873661040917193123/125000000000000000000000,750350889592214895443/30517578125000000000
q084,2814654599037839674664161/125000000000000000000000,344529553077557882763/15258789062500000000
q085,5647376617235845693124353/250000000000000000000000,1378946784135112943623/61035156250000000000
q086,2863215871066139818193123/125000000000000000000000,349522473236188877409/15258789062500000000
q087,1263367568587307577589/61035156250000000000,1294626503938072472489401/62500000000000000000000
q088,587830369945820215566829/31250000000000000000000,1151353861431400964637/61035156250000000000
q089,24,24
q090,21674808695203375655946459/1000000000000000000000000,5747343891476038322769/244140625000000000000
q091,2812699172144420360106731/125000000000000000000000,1397971833054308294417/61035156250000000000
q092,4448448593505003145121/244140625000000000000,19655225089345177098929081/1000000000000000000000000
q093,651713059947895992269/30517578125000000000,2681486291347551449498459/125000000000000000000000
q094,4678755564082142568873/244140625000000000000,20391705245671946266033353/1000000000000000000000000
q095,8805459273164792155085909/500000000000000000000000,2202377228925266918969/122070312500000000000
q096,3383181308416830460581/244140625000000000000,15203769240176063068539141/1000000000000000000000000
q097,193017018217252414037/7629394531250000000,6343018178819329276139881/250000000000000000000000
q098,1583419275079495632929/61035156250000000000,6489075376272791178923219/250000000000000000000000
q099,1597199868462822356899/61035156250000000000,6542640872218515777648139/250000000000000000000000
q100,3083069863981739547783091/125000000000000000000000,1506002312070515866937/61035156250000000000
q101,31899580942934323755623/1562500000000000000000,31222372225667159897/1525878906250000000
q102,1309868372363590367693123/62500000000000000000000,639618980595842650261/30517578125000000000
q103,277079804609000808853/15258789062500000000,283802468189865676244377/15625000000000000000000
q104,166573533871312565513123/10000000000000000000000,20342433240873934909/1220703125000000000
q105,3475269/125000,434409/15625
q106,830525331110910104557/30517578125000000000,3401903126338959082806877/125000000000000000000000
q107,1658423/62500,414606/15625
q108,5700955649900557697460933/250000000000000000000000,1400124011768906003653/61035156250000000000
q109,1309868372363590367693123/62500000000000000000000,639618980595842650261/30517578125000000000
q110,2534681618388221652579369/125000000000000000000000,77358813119210318213/3814697265625000000
q111,2009982194633953480291/122070312500000000000,8244719356996792041520951/500000000000000000000000
q112,6805765552547587900707051/500000000000000000000000,1671002432035196727891/122070312500000000000
q113,3475269/125000,434409/15625
q114,2569821545526658677453809/100000000000000000000000,79048551297114780593/3051757812500000000
q115,2409661504469870714374193/100000000000000000000000,589901801970164554063/24414062500000000000
q116,2494113084877755272301/122070312500000000000,5151947537832499031388093/250000000000000000000000
