state_id,a,b,r,U,L,c0,c1,c2,c3,c4
q001,N,Bo,Ro,Bo Bo Bo,Ro Ro Ro,1848,7728,9360,-10344,-4032
q002,N,Bo,Ro,Bo Bo Bo,Ro Ro R,252,756,1152,-1164,-468
q003,N,Bo,Ro,Bo Bo Bo,Ro R Ro,24,0,0,0,0
q004,N,Bo,Ro,Bo Bo Bo,Ro R R,24,0,0,0,0
q005,N,Bo,Ro,Bo Bo Bo,R Ro Ro,1400,6488,6684,-7972,-3036
q006,N,Bo,Ro,Bo Bo Bo,R Ro R,0,24,0,0,0
q007,N,Bo,Ro,Bo Bo Bo,R R Ro,0,24,0,0,0
q008,N,Bo,Ro,Bo Bo Bo,R R R,0,24,0,0,0
q009,N,Bo,Ro,Bo Bo B,Ro Ro Ro,252,756,1152,-1164,-468
q010,N,Bo,Ro,Bo Bo B,Ro Ro R,72,72,192,-168,-72
q011,N,Bo,Ro,Bo Bo B,Ro R Ro,24,0,0,0,0
q012,N,Bo,Ro,Bo Bo B,Ro R R,-6054,-27396,-26232,32706,12312
q013,N,Bo,Ro,Bo Bo B,R Ro Ro,256,1180,1272,-1472,-564
q014,N,Bo,Ro,Bo Bo B,R Ro R,16,48,64,-56,-24
q015,N,Bo,Ro,Bo Bo B,R R Ro,-686,-3106,-3020,3746,1410
q016,N,Bo,Ro,Bo Bo B,R R R,3726,16848,16092,-20070,-7560
q017,N,Bo,Ro,Bo B Bo,Ro Ro Ro,24,0,0,0,0
q018,N,Bo,Ro,Bo B Bo,Ro Ro R,24,0,0,0,0
q019,N,Bo,Ro,Bo B Bo,Ro R Ro,8,-24,-64,56,24
q020,N,Bo,Ro,Bo B Bo,Ro R R,-1264,-5720,-5464,6832,2568
q021,N,Bo,Ro,Bo B Bo,R Ro Ro,44,188,192,-220,-84
q022,N,Bo,Ro,Bo B Bo,R Ro R,8,16,0,0,0
q023,N,Bo,Ro,Bo B Bo,R R Ro,-208,-940,-916,1140,432
q024,N,Bo,Ro,Bo B Bo,R R R,736,3320,3156,-3948,-1476
q025,N,Bo,Ro,Bo B B,Ro Ro Ro,24,0,0,0,0
q026,N,Bo,Ro,Bo B B,Ro Ro R,-38271,-172959,-164850,206049,77499
q027,N,Bo,Ro,Bo B B,Ro R Ro,-8256,-37324,-35572,44468,16728
q028,N,Bo,Ro,Bo B B,Ro R R,29425,132985,126672,-158369,-59559
q029,N,Bo,Ro,Bo B B,R Ro Ro,-1336,-6046,-5748,7208,2706
q030,N,Bo,Ro,Bo B B,R Ro R,-16989,-76731,-73042,91387,34347
q031,N,Bo,Ro,Bo B B,R R Ro,5966,26978,25716,-32122,-12090
q032,N,Bo,Ro,Bo B B,R R R,-18633,-84171,-80130,100239,37683
q033,N,Bo,Ro,B Bo Bo,Ro Ro Ro,1400,6488,6684,-7972,-3036
q034,N,Bo,Ro,B Bo Bo,Ro Ro R,256,1180,1272,-1472,-564
q035,N,Bo,Ro,B Bo Bo,Ro R Ro,44,188,192,-220,-84
q036,N,Bo,Ro,B Bo Bo,Ro R R,-200,-908,-852,1084,408
q037,N,Bo,Ro,B Bo Bo,R Ro Ro,640,2920,2832,-3488,-1320
